line,bus0,bus1,capacity_MVA,max_flow_MW,loading_pct,length_km
S-L12,BWK,HWB,600.0,127.09180250169698,21.18196708361616,30.4321133282901
N-L113,CBG,HAM,600.0,124.96513974431343,20.827523290718904,18.7488549653149
N-L92,TNG,OKN,600.0,121.7418096774712,20.290301612911865,18.073189232034
N-L51,OTA,HEN,1000.0,202.47126153585376,20.247126153585377,25.183156334408
S-L18,NSY,ISL,1000.0,198.25891978215105,19.825891978215104,254.456253711251
N-L117,PAO,WHU,600.0,117.95020066543438,19.658366777572397,14.0611060604546
N-L93,OKN,NPK,600.0,115.87571296767452,19.31261882794575,30.0001452933056
N-L81,WVY,HWA,600.0,115.46091627709765,19.24348604618294,34.7992086563272
S-L38,ISL,BRY,1000.0,177.02318309303757,17.70231830930376,15.0234066520665
N-L46,OTA,PEN,1000.0,167.94967627273786,16.794967627273785,6.91947044006439
S-L14,GOR,ROX,600.0,98.50497466224495,16.417495777040823,77.6455842218199
S-L15,ROX,CYD,1000.0,164.172552486081,16.4172552486081,33.0205753190476
S-L60,ARG,BLN,600.0,97.98243124729889,16.330405207883146,63.6923129696462
S-L62,ISL,KIK,1000.0,160.56511509255353,16.05651150925535,209.29883908991
S-L36,ASB,TWZ,1000.0,157.3933803890263,15.73933803890263,140.943305388764
S-L22,BPD,STU,600.0,94.28890507701784,15.714817512836307,21.1682078165655
N-L118,WHU,WKO,600.0,93.8302314232902,15.638371903881701,18.8709578885833
S-L13,CML,FKN,600.0,91.93632670363525,15.322721117272541,35.8955094629381
S-L59,KIK,ARG,600.0,85.98363124729887,14.330605207883146,27.2700046491581
S-L23,STU,TIM,600.0,85.01286934072702,14.168811556787835,40.6631960837673
N-L2,HAY,BPE,1000.0,138.73820049533757,13.873820049533755,111.473863940216
S-L45,HOR,COL,300.0,39.351799235982746,13.11726641199425,41.856035602556
S-L10,GOR,BAL,600.0,75.1893041953914,12.5315506992319,67.3372432968722
S-L65,INV,GOR,1000.0,121.51817050321961,12.151817050321961,50.4143388834791
S-L37,ASB,ISL,1000.0,121.10555610834305,12.110555610834304,72.6632202676853
N-L106,TGA,MTM,600.0,71.410679038817,11.901779839802833,9.1804885562517
S-L5,ROX,HWB,1000.0,117.73873967738358,11.773873967738357,99.1992336570195
S-L19,WTK,NSY,1000.0,116.40534518311262,11.640534518311261,46.2422051148948
N-L59,GFD,HAY,600.0,67.7935941836106,11.2989323639351,11.409676392122
S-L44,KBY,HOR,300.0,33.40375472581639,11.134584908605463,13.7425853599801
S-L42,SBK,KAI,300.0,33.268530622304375,11.089510207434792,10.0
S-L28,AVI,WTK,1000.0,109.9128448769326,10.991284487693258,6.99198819640426
S-L4,INV,ROX,1000.0,108.78795974302042,10.878795974302042,124.450661177984
N-L58,MLG,HAY,600.0,63.83961281577326,10.639935469295542,7.85756690395563
N-L52,ALB,SVL,1000.0,105.195936069008,10.5195936069008,12.8614947325559
S-L43,ISL,KBY,300.0,31.11832162661738,10.372773875539126,34.4699100687903
N-L16,RDF,WTU,1000.0,97.87298957486136,9.787298957486136,7.93586670831229
N-L35,TRK,KMO,1000.0,91.54607379878814,9.154607379878813,37.1563042852716
N-L110,KAW,MAT,600.0,54.41035169586273,9.068391949310454,9.04426114629899
N-L120,HAM,HLY,600.0,54.35573093950803,9.059288489918005,29.6524968959619
N-L119,WKO,KPU,600.0,53.23875430683918,8.87312571780653,29.234827656905
S-L11,BAL,BWK,600.0,53.09920250169698,8.849867083616163,40.9016505853267
S-L7,INV,EDN,600.0,51.58310063400867,8.597183439001444,30.9064436254703
S-L57,KIK,STK,600.0,50.58068433938197,8.430114056563662,50.3182026447766
S-L6,HWB,SDN,1000.0,81.56765362908193,8.156765362908192,4.68824260718601
N-L114,KPO,TMU,600.0,47.77329128773875,7.962215214623125,20.9216097572617
S-L61,WPR,CUL,1000.0,73.95254243055182,7.395254243055181,38.3279262262021
S-L8,EDN,BDE,600.0,43.47937370856197,7.246562284760329,10.8320556104901
S-L56,MCH,KIK,600.0,38.80000714725816,6.4666678578763594,46.3809025386117
S-L21,BPD,OAM,600.0,37.659566925446704,6.276594487574451,20.1525576468041
S-L63,CUL,KIK,1000.0,60.629195887113745,6.062919588711375,116.249039253447
S-L9,BDE,GOR,600.0,33.92334965434139,5.653891609056899,13.301349738739
N-L34,KAW,MAT,1000.0,54.41035169586273,5.441035169586273,9.04426114629899
N-L36,TRK,ATI,1000.0,51.143790669761444,5.114379066976144,37.4317709664017
S-L64,KIK,STK,1000.0,50.58068433938197,5.058068433938197,50.3182026447766
